Wall time,Step,Value
1637131358.647712,0,0.3824622929096222
1637131376.024705,1,0.1377914547920227
1637131393.258312,2,0.10872585326433182
1637131410.48139,3,0.10066958516836166
1637131427.756591,4,0.09414798766374588
1637131444.917662,5,0.09036732465028763
1637131462.448375,6,0.08528685569763184
1637131479.756926,7,0.08241327106952667
1637131497.428768,8,0.07999930530786514
1637131515.038935,9,0.07821474969387054
1637131532.371719,10,0.07299329340457916
